procedure_concept_id,procedure_concept_name,n
4235749,Laparoscopic-assisted anterior resection of rectum,27
44806238,Surgical biopsy of glans penis,27
44806240,Incision of Peyronie plaque and insertion of graft,27
4075431,Exploratory burrhole of cranium,26
4117066,Reconstruction of urethra,26
4127886,Hysterectomy,26
4137609,Reconstruction of penis,26
4166759,Stapes operation,26
4194967,Complete axillary lymphadenectomy,26
4208393,Tooth extraction,26
4242873,Cervical arthrodesis by anterior technique,26
4313585,Arthroscopy of knee with medial meniscectomy,26
4343795,Le Fort I osteotomy,26
42872568,Laparoscopic myomectomy,26
4030107,Thyroidectomy,25
4072688,Primary posterior decompression cervical cord and fusion,25
4128563,Ivor Lewis subtotal esophagectomy,25
4166760,Varicose vein operation,25
4329508,Ultrasonography of pleural cavity,25
42537594,CT guided percutaneous irreversible electroporation of neoplasm of prostate,25
44811733,Ultrasonography guided percutaneous radiofrequency ablation of long saphenous vein,25
4021250,Construction of continent ileal conduit,24
4021362,Biopsy of pleura,24
4031670,Cerclage,24
4116614,Arthroscopic irrigation of joint,24
4139400,Incision and drainage of buttock abscess,24
4167809,Incision and drainage of perianal abscess,24
4178317,Primary repair of umbilical hernia,24
4302156,Repair of vaginovesical fistula,24
4326674,Prosthetic arthroplasty of left hip,24
4343571,Excision of cranial tumor,24
43531084,Open reduction of fracture of clavicle with internal fixation,24
43531437,Percutaneous removal of calculus from renal pelvis using fluoroscopic guidance,24
4064111,Decompression of ulnar nerve at elbow,23
4179533,Excision of lamina of lumbar vertebra for decompression of spinal cord,23
4244809,Esophageal hiatus hernia repair,23
4306206,Laminectomy,23
37116718,Reverse prosthetic total arthroplasty of right shoulder,23
44790187,Injection of wrist joint,23
4052413,Central venous cannula insertion,22
4083066,Drainage of pleural cavity,22
4107670,Myringotomy and insertion of tympanic ventilation tube,22
4136887,Laparoscopic repair of hiatus hernia,22
4139520,Reconstruction of vagina with urethral dissection,22
4139581,Amputation of glans penis,22
4147379,Dilation of urethra,22
4169837,Examination under anesthetic of postnasal space,22
4186308,Hysteroscopy with biopsy,22
4211376,Revision of mastoidectomy,22
4216351,Fixation of hip,22
4240697,Implantation of artificial bladder sphincter,22
4343674,Reconstruction of anterior cruciate ligament of knee joint,22
37111478,Lobectomy of upper lobe of left lung,22
44806572,Primary anterior cervical spine corpectomy with reconstruction,22
4032408,Removal of foreign body,21
4069361,Ossiculoplasty using artificial prosthesis,21
4103961,Removal of acoustic neuroma,21
4135441,Closure of colostomy,21
4142395,Prosthesis operation on penis,21
4234536,Transurethral prostatectomy,21
4269081,Surgical treatment of miscarriage of any trimester,21
4287375,Shunt of cerebral ventricle to extracranial site,21
42537385,Excision of part of left breast,21
4013567,Microvascular decompression surgery of cranial nerve,20
4032404,Bronchoscopy,20
4034300,Prosthetic arthroplasty of the patellofemoral joint,20
4084585,Maxillectomy,20
4119238,Parathyroid adenoma excision,20
4128362,Injection into shoulder joint,20
4199570,Decompression of thoracic spine,20
4205640,Insertion of tunneled indwelling catheter with cuff into pleura,20
4245274,Incision and drainage of axilla,20
4283095,Carotid endarterectomy,20
36676810,High intensity focused ultrasound ablation,20
37111476,Lobectomy of lower lobe of right lung,20
42537386,Excision of part of right breast,20
44791409,One stage insertion of fixtures for bone anchored hearing prosthesis,20
46273558,Scarf osteotomy of first metatarsal,20
4019041,Clipping of aneurysm of circle of Willis,19
4075737,Revision decompression of lumbar spine,19
4085220,Arthroscopy of shoulder,19
4121243,Laparotomy and division of peritoneal adhesions,19
4151191,Metatarsophalangeal fusion,19
4165566,Salpingectomy for tubal ectopic pregnancy by abdominal approach,19
4171393,Implantation of Ommaya reservoir,19
4232742,Vacuum assisted skin closure,19
4259286,Repair of umbilical hernia,19
4269222,Repair of nasal septal perforation,19
4280225,Total laryngectomy,19
4290320,Open reduction of fracture of humerus with internal fixation,19
4303062,Biopsy of lung,19
4305000,Dental surgical procedure,19
4332313,Removal of spinal intradural extramedullary tumor,19
4343341,Primary open reduction of fracture of neck of femur and open fixation using dynamic hip screw,19
40480480,Endoscopic exteriorization of third ventricle,19
44807802,Laparoscopic subtotal colectomy,19
4021531,Total abdominal hysterectomy,18
4033396,Laparoscopic repair of inguinal hernia,18
4067489,Functional endoscopic sinus surgery - anterior ethmoidectomy and frontal recess dissection,18
4074687,Decortication of lung,18
4090926,Revision of hip arthroplasty,18
4145383,Endoscopic stapling of pharyngeal pouch,18
4173508,Bankart anterior stabilization of shoulder joint,18
4305185,Laparoscopic repair of bilateral inguinal hernias with prosthesis or graft,18
4332511,Biopsy of skeletal muscle,18
4336307,Neurostimulation of spinal cord tissue,18
4343568,Excision of the trapezium,18
42537362,Repair of right inguinal hernia,18
44806653,Cystoscopy and bladder washout,18
4073688,Incision and drainage of wound,17
4073858,Excision of cyst of epididymis,17
4074689,Open drainage of pleural cavity,17
4085380,Arthroscopic trimming of medial meniscus,17
4213045,Lumpectomy of breast,17
4297249,Obstetric operation,17
4311817,Fiberoptic bronchoscopy,17
40488889,Primary excision of cervical intervertebral disc by anterior approach,17
4064642,Excision of lesion of temporal lobe of brain,16
4120662,Renewal of artificial urinary sphincter around male bladder neck or urethra,16
4172500,Total shoulder replacement,16
4197703,Intramedullary nailing of tibia,16
4310244,Total laryngectomy with radical neck dissection,16
4321592,Repair of paraumbilical hernia,16
4326677,Prosthetic arthroplasty of right hip,16
35624535,Left radical orchidectomy,16
37111501,Excision of right adrenal gland,16
44807813,Laparoscopic panproctocolectomy,16
4069972,Immediate repair of obstetric laceration,15
4072040,Repair of patellar tendon,15
4072528,Cranioplasty using prosthesis,15
4073968,Primary lumbar microdiscectomy,15
4075570,Sagittal split mandibular osteotomy,15
4080549,Lumbar puncture,15
4114806,Excision of sebaceous cyst,15
4127887,Laparoscopic hysterectomy,15
4145883,Laser surgery of mouth,15
4154603,Removal of implant,15
4156932,Organ retrieval operation,15
4160170,Finger fasciectomy,15
4170536,Arthroscopy of knee with medial meniscus repair,15
4171196,Excision of hydrocele,15
4172623,Open reduction of fracture of tibia with internal fixation,15
4188069,"Functional endoscopic sinus surgery, limited",15
4215461,Thalamotomy,15
4217923,Replacement of neural pacemaker from peripheral nerve,15
4245362,Myringoplasty,15
4287920,Hand fasciectomy,15
4311405,Biopsy,15
37017275,Total hip resurfacing arthroplasty,15
40483740,Cervical laminectomy,15
40487469,Incision and drainage of abscess of skin,15
4017451,Revision of ileostomy,14
4031291,Repair of parastomal hernia,14
4049546,Angioplasty of superficial femoral artery,14
4072039,Repair of tendo achilles,14
4073015,Removal of artificial urinary sphincter from around male bladder neck or urethra,14
4076565,Exploratory lumbar laminectomy,14
4167069,Aneurysm clipping,14
4212503,Extraction of permanent tooth,14
4214514,Injection of joint of finger,14
4220029,Nephrostomy,14
4242489,Revision of stapedectomy,14
4263792,Removal of inflatable penile prosthesis,14
4268321,Feeding enterostomy of jejunum,14
4275113,Insertion of intrauterine contraceptive device,14
4282141,Ligation of varicocele,14
4297514,Creation of defunctioning colostomy,14
4305073,Balloon dilatation of esophagus,14
40487065,Fusion of joint of thoracic spine with internal fixation by posterior approach,14
42539128,Repair of left inguinal hernia using surgical mesh,14
42872509,Laparoscopic cholecystostomy,14
46273003,Cheilectomy of metatarsal,14
4021070,Radical inguinal orchiectomy,13
4026220,Arthroscopy of knee with lateral meniscus repair,13
4028259,Incision and exploration of neck,13
4031970,Repair of incisional hernia,13
4045952,Excision of intracranial arteriovenous malformation,13
4069880,Tympanoplasty using biological graft,13
4160042,Excision of palmar aponeurosis for Dupuytren's contracture of hand,13
4170289,Incision and drainage of breast abscess,13
4190526,Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy,13
4230802,Excision of Morton's neuroma of peripheral nerve,13
4231956,Thoracic laminectomy and excision of intradural spinal lesion,13
4243049,Radical dissection of groin,13
4330226,Incision and drainage of abdominal abscess,13
4335612,Mastoid operation,13
4342005,Urethroplasty for stricture,13
35624537,Right radical orchidectomy,13
37118018,Prosthetic unicompartmental arthroplasty of right knee,13
40484001,Division of fascia of finger for Dupuytren contracture,13
40489431,Division of palmar fascia of hand using needle,13
42536397,Revision of left total hip arthroplasty,13
43531189,Laparoscopic excision of cyst of left ovary,13
4023112,Cystostomy and insertion of suprapubic catheter,12
4066308,Creation of lumboperitoneal shunt,12
4070607,Enucleation of dental cyst of jaw,12
4072196,Revision of circumcision,12
4144580,Cortical mastoidectomy,12
4146928,Microlaryngoscopic vocal cord polypectomy,12
4164300,Radical neck dissection,12
4166763,Transurethral resection of bladder papilloma,12
4174519,Mastoidectomy,12
4196678,Hernia repair,12
4207594,Osteotomy and discectomy of cervical spine by anterior approach,12
4234486,Craniectomy and excision of infratentorial brain tumor,12
4328170,Incision and drainage of abscess of back,12
4333694,Removal of spinal extradural tumor,12
4342021,Hydrocele operation,12
4343339,Fixation of fracture,12
37017000,Hysteroscopy with division of intrauterine septum,12
37109477,"Endoscopy of pharynx, trachea and esophagus",12
40488890,Primary anterior decompression of cervical spinal cord,12
40488920,Laminectomy and discectomy,12
40489792,Hysteroscopic myomectomy,12
40493267,Cystoscopy and removal of calculus of bladder,12
42536330,Lumpectomy of right breast,12
42872680,Debridement of soft tissue,12
43531091,Open reduction of fracture of patella with internal fixation,12
4010266,Partial cystectomy,11
4021530,Radical hysterectomy,11
4023288,Perineal urethrostomy,11
4028229,Complete parotidectomy,11
4042506,Biopsy of testis,11
4049255,Biopsy of lesion of internal nose,11
4050405,Multiple avulsions of varicose veins,11
4057680,Debridement and suture,11
4062876,Stereotactic biopsy of brain,11
4067143,Partial petrosectomy,11
4067491,Functional endoscopic sinus surgery - antrostomy via middle meatus,11
4075430,Exploratory open craniotomy,11
4103175,Surgical removal of third molar tooth,11
4108768,Decompression laminectomy,11
4128302,Mediastinoscopy,11
4151269,Electroejaculation procedure,11
4154598,Revision of scar,11
4155525,Fixation of mandible,11
4160061,Thermocoagulation of Gasserian ganglion,11
4166294,Anal fistula operation,11
4176163,Combined anterior and posterior epiphysiodesis of spine for correction of deformity,11
4181781,Partial resection of colon,11
4194124,Excision of lesion of breast,11
4195473,Temporary tracheostomy,11
4203947,Mastectomy with preservation of skin and nipple with synchronous implant,11
4207733,Lumbar laminectomy and excision of intradural spinal lesion,11
4221874,Hysteroscopy with removal of submucous leiomyomata,11
4265608,Detorsion of ovary,11
4309590,Transurethral incision of bladder neck,11
4335617,Tympanoplasty with mastoidectomy,11
37111477,Lobectomy of lower lobe of left lung,11
40480019,Excision of lesion of intradural extramedullary spinal cord,11
42537031,Radiofrequency rhizotomy of trigeminal nerve,11
44783182,Rendezvous bypass of ureteric occlusion and insertion of ureteric stent,11
4028987,Arthroscopy,10
4030039,Total thyroidectomy with cervical lymph node dissection,10
4032607,Marsupialization of Bartholin's abscess,10
4032609,Wide local excision of vulva,10
4070763,Incision and resuture of wound,10
4072416,Subtotal abdominal hysterectomy,10
4074991,Repair of quadriceps tendon,10
4075031,Examination of female genital tract under anesthetic and papanicolau smear,10
4076037,Primary posterior excision of lumbar disc,10
4115619,Canaloplasty of external auditory meatus,10
4117941,Revision of distal catheter of ventricular shunt,10
4123914,Excision of pilonidal sinus,10
4128032,Operation to facilitate delivery,10
4128860,Total proctectomy,10
4131021,Total gastrectomy,10
4141156,Cystoscopic suburethral injection in female,10
4152082,Creation of loop ileostomy,10
4213005,Closure of skin by suture,10
4216191,Excision of vaginal septum,10
4217829,Laryngectomy,10
4218109,Removal of internal fixation device,10
4259567,Sacral laminectomy and excision of intradural spinal lesion,10
4266016,Tympanotomy,10
4295431,"Delorme operation, proctopexy",10
4311828,Open reduction of fracture of humerus,10
4337036,Excision of segment of right upper lobe,10
4337962,Total elbow replacement,10
4343905,Arthrodesis of interphalangeal joint of lesser toe,10
37017042,Arthroscopic primary reduction and fixation of fracture of neck of femur using dynamic hip screw,10
37019025,Laparoscopic colposuspension,10
37116949,Revision of total arthroplasty of right shoulder,10
40482730,Blind sac closure of external auditory canal,10
40486022,Excision of lesion of meninges,10
40487362,Total excision of meningioma,10
40491919,Laparoscopic total cystectomy,10
42537535,Excision of middle lobe of right lung,10
43021498,Excisional debridement of wound for infection,10
43530803,Revision of appendicovesicostomy,10
44811544,Open colposuspension,10
4003234,Scrotum reconstruction,9
4014533,Trigeminal rhizotomy,9
4030148,Small intestine excision,9
4048321,Reduction of nasal turbinate,9
4055162,Excision of female urethral diverticulum,9
4059798,Closure of jejunostomy,9
4063802,Internal fixation of bone of humerus,9
4072262,Primary foraminotomy of cervical spine,9
4075876,Biopsy of cranial lesion,9
4076035,Primary laminectomy excision of lumbar intervertebral disc,9
4078926,Partial scrotectomy,9
4093429,Total excision of bilateral fallopian tubes,9
4107257,Stabilization of joint by repair of capsule,9
4111151,Local anesthetic sacral epidural block,9
4112784,Removal of bone screw from bone,9
4122781,Excision of cervical lymph node,9
4123421,Open hemorrhoidectomy,9
4138606,Endoscopic vocal cord medialization,9
4142244,Creation of defunctioning ileostomy,9
4143669,Revision posterior decompression lumbar spine,9
4146264,Colposuspension,9
4160290,Incision and drainage of abscess of neck,9
4166855,Anterior resection of rectum,9
4169931,Uterine myomectomy,9
4219222,Parotidectomy,9
4226983,Resection of rectum,9
4230528,Arthrolysis,9
4232718,Craniectomy and excision of cerebellopontine angle tumor,9
4261491,Operative procedure on elbow,9
4263101,Clam cystoplasty,9
4265165,Excision of thymus,9
4273866,Radical cystectomy,9
4279466,Arthroscopy of ankle,9
4304477,Removal of stent,9
4335030,Injection of facet joint,9
4335476,Excision of segment of left upper lobe,9
4346404,Osteotomy of proximal femur,9
35622743,Open repair of ventral hernia,9
36714117,Interbody fusion of lumbar spine by anterior approach,9
37111470,Prosthetic unicompartmental arthroplasty of left knee,9
40481439,Incision and drainage of hematoma,9
40488927,Fusion of joint of lumbar spine with internal fixation by posterior approach,9
40492036,Endovenous laser ablation of varicose vein,9
40493259,Excision of temporal lobe,9
42538400,Repair of right indirect inguinal hernia,9
42872569,Laparoscopic removal of ovarian cyst,9
43531083,Open reduction of fracture of mandible with internal fixation,9
43531134,Laparoscopic repair of incisional hernia,9
46270984,Removal of orthopedic wire from sternum,9
4013362,Incision and exploration of skin,8
4015660,Dilation and curettage of uterus,8
4028789,Excisional biopsy of breast,8
4044045,Suprapubic cystostomy,8
4045470,Excision of intracranial cavernous hemangioma,8
4046289,Open reduction with internal fixation,8
4046918,Closure of cerebrospinal fluid leak from nose,8
4066064,Revision of tympanoplasty,8
4069249,Roux-en-Y gastrojejunostomy,8
4071089,Internal fixation of bone of radius,8
4071934,Scrotum and testicle operation,8
4072170,Excision of lesion of testis,8
4072257,Biopsy of lesion of mandible,8
4072687,Primary posterior decompression cervical cord,8
4074143,Distal shunt for priapism,8
4074144,Proximal shunt for priapism,8
4075890,Partial maxillectomy,8
4083503,Exteriorization of brain ventricular shunt,8
4123423,Laying open of anal fistula,8
4129198,Microdochectomy,8
4129201,Plastic operation on the breast,8
4137451,Eustachian tuboplasty,8
4137462,Adrenalectomy,8
4139006,Subareolar excision of mammillary duct,8
4140694,Removal of nephrostomy tube,8
4141919,Insertion of pleural tube drain,8
4144721,Abdominoperineal resection,8
4147545,Excision of urethral diverticulum,8
4153324,FESS - Functional endoscopic sinus surgery - sphenoethmoidectomy,8
4158252,Removal of calculus from urinary bladder by incision,8
4168987,Myringotomy and insertion of long-term ventilation tube,8
4169843,Resection of mediastinal lesion,8
4172914,Open reduction of fracture of radius,8
4177164,Lumbar spinal fusion,8
4180256,Operative procedure on ankle,8
4194665,Cystourethroscopy with dilation of urethral stricture,8
4195307,Repair of inguinal hernia,8
4199951,Right hemicolectomy and anastomosis of ileum to colon,8
4201232,Resurfacing arthroplasty,8
4201719,Primary decompression of thoracic spine,8
4211479,Biopsy of lesion of nose,8
4213796,Rhinoplasty of nasal deformity,8
4217615,Plication of diaphragm,8
4231795,Total gastrectomy with extended lymphadenectomy,8
4233170,Cervical laminectomy and excision of intradural spinal lesion,8
4234637,Open reduction of fracture of distal phalanx of finger with internal fixation,8
4270051,Arthrodesis of ankle,8
4281936,Craniectomy,8
4287859,"Transurethral resection of prostate, first stage of two stages",8
4299730,Cystoscopy and transurethral resection of bladder lesion,8
4302886,Laparoscopic fundoplication,8
4310408,Distal subtotal gastrectomy,8
4332575,Local anesthetic intercostal nerve block,8
4332654,Incision and drainage of abscess of face,8
4343560,Osteotomy of distal femur,8
4346397,Fixation of fracture using cannulated screws,8
36714169,Umbilical herniorrhaphy using surgical sutures,8
37116717,Reverse prosthetic total arthroplasty of left shoulder,8
40490325,Endoscopic excision of lesion of internal nose,8
40490877,Anterior transposition of ulnar nerve,8
42537361,Repair of left inguinal hernia,8
42689687,Scarf osteotomy of first metatarsal with medial closing wedge,8
44783706,Radial forearm free flap,8
44806273,Lateral interbody fusion of lumbar spine,8
44806981,Diagnostic laparoscopy with diathermy to endometriosis,8
44808115,Biopsy of sentinel lymph node of breast,8
44811553,Injection of bulking agent to female bladder neck,8
45767587,Revision of transforaminal interbody fusion of joint of lumbar spine,8
46272864,Removal of implanted intrathecal pump,8
4017599,Excision of colon and rectum,7
4046913,Excision of tumor of brain meninges,7
4048987,Dorsal slitting of prepuce,7
4052110,Angioplasty of common iliac artery,7
4064641,Excision of lesion of frontal lobe of brain,7
4070512,Watson-Jones operation for reconstruction of lateral ligaments of ankle,7
4072579,Reconstruction of vagina,7
4074297,Dilation of cervix uteri and vacuum aspiration of products of conception from uterus,7
4075122,Plastic repair of rotator cuff of shoulder,7
4076032,Revision posterior decompression lumbar spine and fusion,7
4099462,Removal of breast implant,7
4102947,Open reduction of fracture of ulna with internal fixation,7
4119997,Arthroscopic meniscectomy,7
4120795,Surgical removal of impacted tooth,7
4121434,Bone fusion,7
4125308,Ileocolic anastomosis,7
4147215,Partial pharyngectomy,7
4148003,Aspiration of bone marrow from donor for transplant,7
4166764,Repair of hydrocele,7
4170150,Examination of pharynx under anesthetic,7
4179797,Laparoscopic-assisted right colectomy,7
4201720,Decompression of cervical spine,7
4222614,Bursectomy,7
4224182,Open reduction of fracture of fibula with internal fixation,7
4228202,Excisional biopsy,7
4236993,Epidural lumbar injection of blood patch,7
